CODE,GROUP,DESCRIPTION,PERFORMANCE REQUIREMENT,WHERE THE REQUIREMENT COMES FROM,CLASS
F-01,FLOOR,SEALED POWER-FLOATED SCREED,"Decontaminable, non-dusting, chemical- and washdown-resistant, laid to falls. Joint-free within a room; coved to the skirting.","Gas-tight CBRN envelope, bays 1-6 [C master A.2]. Falls and screed thickness from DRAINAGE calc D.15 / D.5",[A]
F-02,FLOOR,SEAMLESS COVED HEAVY-DUTY WET-AREA FINISH,"As F-01 plus fully impervious, coved 150 up every wall in one piece, resistant to decontaminant solution. NO joints, NO tiles, NO grout.","Wet areas: lavatory/medical, CBRN plant, decon airlock. Grout lines are a decontamination failure",[A]
F-03,FLOOR,NON-SLIP DECONTAMINABLE FLOOR AND TREAD FINISH,"Wet-slip resistant when contaminated, abrasion resistant, no loose aggregate. Applied to treads, landings and the shaft floor.",Master A.5 designates the stair shaft faces a WET / DIRTY ZONE (30 mm cover) [C],[A]
F-04,FLOOR,ABRASION- AND OIL-RESISTANT FLOOR,"Fuel- and oil-resistant, abrasion resistant, laid to falls to GY-09, with a bunded plinth under the generator.","Bay 8 generator, the grey zone [C master A.3]",[A]
F-05,FLOOR,POWER-FLOATED NON-SLIP SLAB FINISH,"External-grade, non-slip when wet, laid to the confirmed 1:80 fall to the floor gully. Hose-down duty.",Headhouse floor is the top of the 900 pressure slab at (-)2.000 with a hose-down point and a 1:80 gully [C Rev F ground plan],[A]
F-06,FLOOR,"IN-SITU CONCRETE, NON-SLIP, WITH A CAST NOSING","External-grade non-slip; nosing integral, not applied.","Covered entry stairwell, outside the protective boundary and DECLARED EXPENDABLE [C master A.2]",[A]
S-01,SKIRTING,"COVED SKIRTING, 150 HIGH, INTEGRAL WITH THE FLOOR","Formed in one piece with the floor finish. No separate section, no sealant joint at the floor.",Decontamination: a butt skirting has a joint at the very place contaminant collects,[A]
S-02,SKIRTING,"HARD SKIRTING, 100 HIGH","Impact resistant, sealed to the wall and floor.","Grey zone and stair shaft, where the decontamination duty does not apply but impact does",[A]
S-03,SKIRTING,NO SKIRTING,Wall finish returned to the floor and sealed.,External and semi-external areas,[A]
W-01,WALL,"FAIR-FACE RC, SEALED WASHABLE COATING","Non-dusting, washable, resistant to decontaminant solution, applied direct to the concrete. NO cavity, NO dry lining, NO battens.",Gas-tight envelope. A lined cavity is a contamination trap that cannot be decontaminated or inspected,[A]
