Outline,WBS,Activity ID,Task Name,Duration (working days),Start,Finish,Predecessors,Total Float (d),Free Float (d),Critical,Resources,Note
1,1,,PRE-CONSTRUCTION AND ENABLING WORKS,155,02-11-26,04-05-27,,,,,,SUMMARY
1.1,1.1,,"Approvals, contract and site possession",15,02-11-26,18-11-26,,,,,,SUMMARY
1.1.1,1.1,A1010,"Contract award, signature and site possession",5,02-11-26,06-11-26,,0,0,YES,Project Manager,
1.1.2,1.1,A1015,Statutory and Service approvals; security clearance of the workforce,10,02-11-26,12-11-26,A1010SS,19,11,,Project Manager,
1.1.3,1.1,A1020,"Contractor's programme, method statements and quality plan — approval",10,07-11-26,18-11-26,A1010,19,0,,Project Manager;Planning Engineer,
1.1.4,1.1,A1025,MILESTONE: Site possession and commencement,0,07-11-26,07-11-26,A1010,0,0,YES,,M-01
1.2,1.2,,Mobilisation and site establishment,17,07-11-26,26-11-26,,,,,,SUMMARY
1.2.1,1.2,A1030,"Site office, stores, labour accommodation and first-aid post",8,07-11-26,16-11-26,A1025,8,0,,Site Engineer (Civil);Unskilled gang,
1.2.2,1.2,A1035,"Site boundary, security fencing, gate and access control",6,07-11-26,13-11-26,A1025,13,0,,Unskilled gang,military site — access control is not optional
1.2.3,1.2,A1040,"Temporary water supply, storage and distribution",5,10-11-26,14-11-26,A1030SS+2,17,9,,Plumber gang,"curing demand governs, not domestic demand"
1.2.4,1.2,A1045,Temporary power supply and site distribution board,5,10-11-26,14-11-26,A1030SS+2,17,9,,Electrician gang,
1.2.5,1.2,A1050,Concrete supply arrangements and site testing laboratory,8,17-11-26,25-11-26,A1030,8,0,,Site Engineer (Civil);QA/QC Engineer,
1.2.6,1.2,A1055,"Material stacking areas, reinforcement yard and bar-bending area",5,17-11-26,21-11-26,A1030,11,3,,Unskilled gang;Bar bender gang,stacking to IS 4082
1.2.7,1.2,A1060,"Plant mobilisation — excavator, breakers, crane, pumps, compactors",5,14-11-26,19-11-26,A1035,13,5,,Site Engineer (Civil),
1.2.8,1.2,A1065,MILESTONE: Mobilisation complete,0,26-11-26,26-11-26,"A1030,A1035,A1040,A1045,A1050,A1055,A1060",8,0,,,M-02
1.3,1.3,,"Survey, setting out and design-parameter confirmation",29,07-11-26,10-12-26,,,,,,SUMMARY
1.3.1,1.3,A1070,"Topographic survey, benchmarks and establishment of the site grid",4,07-11-26,11-11-26,A1025,0,0,YES,Surveyor,origin and axes to master A.4.1
1.3.2,1.3,A1075,"Confirmatory site investigation — boreholes, rockhead, red-bole seams",12,12-11-26,25-11-26,A1070,0,0,YES,Site Engineer (Civil),rockhead (-)1.500/(-)2.000 is ASSUMED in the master
1.3.3,1.3,A1080,Monsoon groundwater monitoring — confirm the design GWT (-)2.000,20,12-11-26,04-12-26,A1075SS,0,0,YES,Site Engineer (Civil),the single most important assumption in the project
1.3.4,1.3,A1085,Percolation test for the soak pits — IS 2470 (Part 2) Cl. 4,5,26-11-26,01-12-26,A1075,3,3,,Site Engineer (Civil),MANDATORY; likely to fail on basalt
1.3.5,1.3,A1090,Issue confirmed geotechnical parameters to the designer,5,05-12-26,10-12-26,"A1075,A1080,A1085",0,0,YES,Project Manager,closes master K.2 assumptions
1.3.6,1.3,A1095,"Setting out — shelter box, headhouse and covered stairwell",3,12-11-26,14-11-26,A1070,13,0,,Surveyor,
1.3.7,1.3,A1100,"Setting out — sentry post, not less than 10 m clear of the excavation",2,16-11-26,17-11-26,A1095,13,0,,Surveyor,master A.2 siting rule
1.3.8,1.3,A1105,Setting-out check and independent verification,2,18-11-26,19-11-26,"A1095,A1100",13,5,,Surveyor;QA/QC Engineer,
1.4,1.4,,Long-lead procurement — protective and specialist items,140,19-11-26,04-05-27,,,,,,SUMMARY
1.4.1,1.4,A1110,"Blast doors 1 and 2 — specification, enquiry and technical evaluation",15,19-11-26,05-12-26,A1020,19,0,,Project Manager,"1200 x 2100, 7 bar, gas-tight, rebound rated"
1.4.2,1.4,A1115,Blast doors — order placement,5,07-12-26,11-12-26,A1110,19,0,,Project Manager,
1.4.3,1.4,A1120,Blast door cast-in FRAMES — manufacture and delivery,75,12-12-26,11-03-27,A1115,19,17,,,frames ship ahead of the leaves so they can be cast in
1.4.4,1.4,A1122,"Blast door LEAVES — manufacture, factory proof test and shipment",120,12-12-26,04-05-27,A1115,116,65,,,vendor item; master F.1 records it as NOT AVAILABLE
1.4.5,1.4,A1130,CBRN filter trains AHU-1/AHU-2 — enquiry and order,20,19-11-26,11-12-26,A1020,115,0,,Project Manager,"duty 250 vs 300 m3/h is conflict C21, UNRESOLVED"
1.4.6,1.4,A1135,CBRN filter trains — manufacture and delivery,100,12-12-26,09-04-27,A1130,115,98,,,EN 1822 H14 HEPA + ASZM-TEDA carbon
1.4.7,1.4,A1140,"Blast valves, 5 No. — enquiry and order",20,19-11-26,11-12-26,A1020,131,0,,Project Manager,sizes not in master Part B — NOT AVAILABLE
1.4.8,1.4,A1145,Blast valves and sleeves — manufacture and delivery,100,12-12-26,09-04-27,A1140,131,57,,,
1.4.9,1.4,A1150,EMP Zone 2 shielded enclosure — specialist enquiry and order,25,19-11-26,17-12-26,A1020,148,0,,Project Manager,"MIL-STD-188-125-1; 80 dB, 10 kHz–1 GHz"
1.4.10,1.4,A1155,EMP Zone 2 enclosure — manufacture and delivery,80,18-12-26,23-03-27,A1150,148,103,,,
1.4.11,1.4,A1160,"Generator 15 kVA — enquiry, order and delivery",60,19-11-26,29-01-27,A1020,195,20,,Project Manager,
1.4.12,1.4,A1165,"Armoured vision panels, 8 No. — enquiry, order and delivery",80,19-11-26,22-02-27,A1020,173,0,,Project Manager,sentry post first storey; specification is [N]
1.4.13,1.4,A1170,Submersible pumps and drainage plant — order and delivery,45,19-11-26,11-01-27,A1020,214,172,,Project Manager,
1.4.14,1.4,A1172,"Reinforcement Fe500D — order, mill certificates and delivery",30,19-11-26,23-12-26,A1020,47,47,,Project Manager,77.3 t including 5 % wastage
1.4.15,1.4,A1174,Waterproofing system — approval of the proprietary system and order,30,19-11-26,23-12-26,A1020,39,39,,Project Manager,FN1 leaves the product deliberately open
1.4.16,1.4,A1176,"Modular bricks to IS 1077 — source approval, testing and order",20,19-11-26,11-12-26,A1020,198,60,,Project Manager,SENTRY POST BRICK MASONRY — design change SP-B1
1.4.17,1.4,A1175,MILESTONE: All long-lead protective items ordered,0,23-02-27,23-02-27,"A1115,A1130,A1140,A1150,A1160,A1165,A1172,A1174,A1176",230,230,,,M-03
2,2,,SITE PREPARATION AND EARTHWORKS,140,26-11-26,11-05-27,,,,,,SUMMARY
2.1,2.1,,Site clearance and stripping,11,26-11-26,08-12-26,,,,,,SUMMARY
2.1.1,2.1,A2010,"Site clearance, grubbing and removal of plants and shrubs",4,26-11-26,30-11-26,"A1065,A1105,A1015",8,0,,Excavator;Unskilled gang,
