Ref,Package,Requirement,Lead activity,Required by,Note
P-01,Blast doors 1 and 2 — leaves and cast-in frames,"1200 x 2100, 7 bar, gas-tight, rebound rated. Vendor item; master F.1 records the leaf, frame and anchorage as NOT AVAILABLE.",A1110 / A1115,Frames at A3105 (walls W6/W7); leaves at A5135,"THE critical procurement. Frames are a separate, earlier delivery than the leaves so that the wall pour is not held by leaf testing."
P-02,CBRN filter trains AHU-1 and AHU-2,"300 m³/h each, true N+1. Louvre, blast valve, G4/F7 pre-filter, EN 1822 H14 HEPA, ASZM-TEDA carbon, fan with electric drive AND hand crank.",A1130,A9040,"Conflict C21 (250 vs 300 m³/h) MUST be ruled on before the order is placed. Fan static pressure is not derivable — select on DIRTY filter figures, not clean."
P-03,"Blast valves, 5 No., and sleeves",Sizes and sleeve details are on sheet S-06 and are NOT in master Part B.,A1140,A9015 (sleeves cast in) / A9035,"Sleeves are needed at the wall and slab pours, well before the valves."
P-04,EMP Zone 2 shielded enclosure,Welded steel room in bay 3; 80 dB over 10 kHz to 1 GHz; effectiveness verified to IEEE Std 299.,A1150,A11030,"Specialist. The reinforcement cage gives 0 dB at 1 GHz, so this is the whole EMP answer, not a supplement to it."
P-05,"Generator, 15 kVA",Bay 8 grey zone; 2600 m³/h combustion and cooling air through BV-4 and BV-5; heat rejection into bay 8 not stated.,A1160,A9050,Delivered before the shafts are closed.
P-06,"Armoured vision panels, 8 No.","1200 wide, first storey of the sentry post. Specification does not exist in the project.",A1165,A8195,Specification must be issued before the enquiry can be meaningful.
P-07,Submersible pumps and drainage plant,PU-01/PU-02 1.5 L/s duty and standby with auto-alternation; PU-03 hand pump; PU-04/PU-05 2 L/s for the stairwell sump.,A1170,A10020 / A10035,The hand pump is the third line of defence and is independent of power — it is not an optional extra.
P-08,"Reinforcement, Fe500D and Fe500","77.3 t including 5 % wastage: 70.46 t for the shelter and entry structures, 1.22 t for the burster slab, 1.97 t for the sentry post. Mill certificates required.",A1172,"A3040 (mat, first fixing)",Cut and bend to the fabricator's approved bar bending schedule; bend deductions to BS 8666 Table 3 are the fabricator's.
P-09,Waterproofing system,"Continuous external tanking, protection layer, integral crystalline admixture, internal wet-area tanking, waterstops and EMP straps. FN1 leaves the product deliberately open — it specifies performance.",A1174,A3020 (horizontal tanking under the mat),Needed EARLY: the horizontal tanking is the first thing that happens after the blinding.
P-10,SENTRY POST — modular bricks to IS 1077,"Class designation 10, 190 x 90 x 90, about 6 400 No. including 5 % breakage. Sampled to IS 5454 and tested to IS 3495 before order.",A1176,A8135,DESIGN CHANGE SP-B1. Source approved once and not changed without retesting. A single approved batch covers the whole requirement.
P-11,Cement,About 194 t (3 900 bags): OPC 43 grade to IS 269 or PPC to IS 1489 (Part 1). M35 requires at least 340 kg/m³ and w/c not more than 0.45.,With A1050,A3010 onward,Stacked to IS 4082. Quantity is a LOWER BOUND — the trial mix to IS 10262 fixes the real content.
P-12,"Aggregate, coarse and fine","About 829 t to IS 383, tested to IS 2386. Masonry sand to IS 2116; plaster sand to IS 1542.",With A1050,A3010 onward,Source-tested before first use.
P-13,Formwork and falsework,About 1 058 m² of contact area; 104 m² of deck at 3.200 m height with props to remain 14 days.,With A1060,A3060 onward,Falsework designed and checked as temporary works to IS 14687.
P-14,Electrical materials and equipment,"Cables, distribution board, luminaires, emergency lighting, earthing conductors and electrodes, EMP penetration protection.",Not yet possible,A11025 onward,*** NO ELECTRICAL DESIGN PACKAGE EXISTS. Quantities are 'to be verified from final measurement' and no enquiry can be issued until the design is produced. ***
P-15,Internal finishes,"Sealed power-floated and seamless coved wet-area floor finishes, coved skirtings, sealed washable wall and soffit coatings, doors and ironmongery.",After FN1 product selection,A12020 onward,"FN1 specifies PERFORMANCE, not products. Each product must be approved against its stated requirement before order."
P-16,Drainage materials,"DN100 drains and DN50 rising mains, gullies, chambers, gratings, the gas-tight NRV, blast check valve and deep-seal traps, septic tank and soak pit fill.",With A1170,A10010 onward,Several pipe lengths are NOT DETERMINABLE without a site plan.
