TAG,TYPE,LOCATION,FUNCTION,CLASS
BV-1,BLAST VALVE DN100,"West wall, bay 1, (598, 2200)","Fresh air train 1. < 2 ms close, holds 1.3 s, 383 kPa recessed, 3.0 kN on the disc",[C]
BV-2,BLAST VALVE DN100,"West wall, bay 1, (598, 4000)",Fresh air train 2. As BV-1,[C]
BV-3,BLAST VALVE DN100,"IN W6, (14998, 4900)","Exhaust and overpressure relief, discharging into bay 7",[C]
BV-4,BLAST VALVE DN350,"East wall, bay 8, (21398, 1300)",Generator intake. 36.8 kN on the disc recessed; 131 kN if flush,[C]
BV-5,BLAST VALVE DN350,"East wall, bay 8, (21398, 4700)",Generator exhaust. As BV-4,[C]
GD-01,MANUAL GAS-TIGHT DAMPER,Inboard of BV-1,"Quarter-turn, operable from inside WITHOUT TOOLS",[C]
GD-02,MANUAL GAS-TIGHT DAMPER,Inboard of BV-2,As GD-01,[C]
GD-03,MANUAL GAS-TIGHT DAMPER,Inboard of BV-3,As GD-01,[C]
GD-04,MANUAL GAS-TIGHT DAMPER,Inboard of BV-4,As GD-01,[C]
GD-05,MANUAL GAS-TIGHT DAMPER,Inboard of BV-5,As GD-01,[C]
VCD-1,VOLUME CONTROL DAMPER,"SD-03 branch, ops room","DAY / NIGHT balancing, 135 / 45 m3/h. Not a refinement - it is what makes the confirmed 300 m3/h sufficient (calc H.6)",[A]
VCD-2,VOLUME CONTROL DAMPER,"SD-04 branch, berthing","DAY / NIGHT balancing, 45 / 135 m3/h",[A]
VCD-3,VOLUME CONTROL DAMPER,Each remaining branch,Commissioning balance only,[A]
OPRV-1,OVERPRESSURE RELIEF VALVE,"With BV-3, in W6",Holds the clean zone at +50 to +100 Pa and relieves above it,[C]
