ROOM,NAME,LEVEL,AREA m²,FLOOR,SKIRTING,WALL,CEILING,DOOR,WATERPROOFING,WET,SPECIAL REQUIREMENTS,REMARKS
U-01,EMERGENCY STORES / ESC 1,(-6.100),14.50,F-01,S-01,W-01,C-01,D-04,WP-01/03,—,1000 L potable tank; ESC 1 collar 1400 dia clear,Falls 1:100 to the spine. Keep 750 clear of the ESC opening edge
U-02,LAVATORY + MEDICAL,(-6.100),9.00,F-02,S-01,W-02,C-01,D-04,WP-01/03/04,YES,Lavatory 1800 x 2000 + medical 1800 x 3000 [C master A.3],WET AREA. Falls 1:80 to GY-02. Sealed-cassette toilets - nothing is discharged in protective mode
U-03,OPS ROOM & HAZARD PLOTTING,(-6.100),17.50,F-01,S-01,W-01 + W-04,C-01,D-04,WP-01/03,—,"*** EMP ZONE 2 ENCLOSURE - specialist, see W-04 ***",Falls 1:100. The Zone 2 room's finish is subordinate to its shielding
U-04,BERTHING - 9 BERTHS,(-6.100),9.00,F-01,S-01,W-01,C-01,D-04,WP-01/03,—,3 x 3-tier bunks. Highest occupant density in the shelter,Falls 1:100. Bunk fixings CAST IN - see note on fixings
U-05,CBRN PLANT + SUMP,(-6.100),7.80,F-02,S-01,W-02,C-01,D-05,WP-01/03/04,YES,"Two NBC filter trains, CO2/O2 plant, dehumidifier, clean sump",WET AREA. Falls 1:80 direct to the sump. 110 mm clear at the sides of each train - do not thicken the wall finish here
U-06,DECON AIRLOCK - 3 STAGE,(-6.100),10.00,F-02,S-01,W-02,C-01,D-01/D-05,WP-01/03/04,YES,"Stages 2000x2000, 2000x1500, 2000x1500 [C master A.3]","WET AREA, AND THE DIRTIEST SURFACE IN THE SHELTER. Falls 1:80 to the SEGREGATED gullies. 50 upstand at W5 and at blast door 1"
U-07,STAIR SHAFT,(-6.100),14.00,F-03,S-02,W-03,C-02,D-01,WP-01/03,—,MAIN STAIRCASE - FROZEN GEOMETRY. See the stair finish schedule,Master A.5 designates these faces a WET / DIRTY ZONE (30 cover). OUTSIDE the gas-tight envelope
U-08,GENERATOR / SERVICES / ESC 2,(-6.100),15.00,F-04,S-02,W-03,C-02,D-01,WP-01/03,—,15 kVA generator; 1000 L decon effluent tank; ESC 2,"GREY ZONE. Bunded plinth under the generator. Falls to GY-09, which has NO DESTINATION DEFINED - DRAINAGE DR-F5"
G-01,COVERED STAIRWELL - TOP LANDING,(+0.000),2.25,F-06,S-03,W-05,C-03,D-03,WP-06,—,1500 x 1500 at grade. Entry door 1000 x 2100,EXTERNAL. 300 channel + grating across the full 1500 width at the threshold; ground falls away 1:50 for 2000
G-02,COVERED STAIRWELL - FLIGHT,—,4.95,F-06,S-03,W-05,C-03,-,WP-06,—,"12R @ 166.6667 / 300, 1500 wide, waist 250 [C master A.4.7]","EXTERNAL, semi-exposed. Non-slip essential - this is the only entry route. Soffit follows the flight at 2200 clear"
G-03,COVERED STAIRWELL - PLATFORM,(-2.000),2.25,F-06,S-03,W-05,C-03,D-02,WP-06,YES,1500 x 1500 at (-)2.000. Gully GY-10 to the 1.0 m3 sump,"*** C16 - RULED AT 250 AND CLOSED (RC1 10.09.26, master H.14). Shown at 250. The finish does not depend on the ruling; the drip at the junction does ***"
G-04,HEADHOUSE,(-2.000),11.15,F-05,S-02,W-05,C-02,D-02,WP-06,YES,11.15 m2 usable [C Rev F ground plan]. Equipment drop / PPE store. Hose-down point,"Floor IS the top of the 900 pressure slab - NOT a separate slab. Confirmed 1:80 fall to GY-11, which goes to an EXTERNAL soakaway and NEVER to the clean sump"
G-05,HEADHOUSE - STAIR VOID EDGE,(-2.000),—,F-05,S-02,W-05,-,-,WP-06,—,"Opening in the pressure slab 2800 x 3160, 1100 guarding to the edge [C Rev F ground plan, NBC 2016 Part 4]","Guarding finish: galvanised or coated steel, 1100 high. NOT a finish decision - it is a means-of-escape requirement"
