REF,STATUS,ITEM,WHAT SG2 DID
SG-V9,CLOSED,The project has no coordinates,"18.6089876 N, 73.8587287 E, supplied by the project owner and recorded. The pin is taken as the centre of the box - an adopted convention [A]; if it meant a corner the layout translates rigidly and no offset changes"
SG-V3,RULED,The monsoon GWT monitoring is not in the monsoon,"The owner does not accept the cost of moving it. A1080 stays 12-11-26 → 04-12-26. Consequence: it will not close K.2 A2, and the design GWT (-)2.000 stays [ASSUMED] through construction. Master B.3 shows the completed structure passes even flooded to grade (FoS 1.41), so the permanent works are bounded; what is exposed is the construction stage, and B.3's mandatory mitigation becomes the operative control. SG2-V5 opened"
SG-V5,AMENDED,"Annual rainfall, 759.6 vs 500–600 mm","The SOIL REPORT is the figure that is wrong, not the deck's - SG2-F2. Jun–Oct alone at Pune Shivajinagar averages 852.5 mm over 42 years, which is 1.4–1.7x the report's whole *year*. The deck is the right order but its Jun–Oct total is 18 % low and its October figure still does not fit. Stays open on a narrower question; no IMD normal could be retrieved (all ten hosts refused by the session egress policy) and none is invented"
SG-V1,unchanged,The geotechnical data is off-site,Still open. The layout's carry-across of the SEMT profile to this plot is [A] and is stated as such
SG-V2,unchanged,"Depth of investigation, ~1.5 m vs (-)6.800","Still open - and SG2 now says where the boreholes and the percolation tests have to go, §S.8"
SG-V4,unchanged,Site level and fall disagree by 12–16 m,Still open. It is why SG2 sets pit levels relative to local grade and not to the project datum
SG-V6,unchanged,Entry stairwell raft in black cotton soil,Still open
SG-V7,unchanged,Concealment turf may be expansive clay,Still open
SG-V8,unchanged,Three deck statements not in the report,Still open
SG-V10,unchanged,Date of the SEMT field work not stated,Still open
SG2-V1,NEW,No well position exists anywhere,"The IS 2470 >= 15 m to any well offset cannot be demonstrated. It is the one offset of the three that SG2 cannot close, and it is not fudged"
SG2-V2,NEW,Distance to the perimeter fence,Recorded as the site's only SWOT weakness and never dimensioned. If the fence is closer than the reserve's east edge the whole reserve translates - no offset changes - but somebody has to say where it is
SG2-V3,NEW,"SH-1, the fresh-air intake, has no plan position","The HVAC schedule gives SH-2 an X range and gives SH-1 only *""West of the box""*. The fresh-air intake of a CBRN shelter is not a minor fitting; until it has a coordinate no intake separation can be checked against anything, the septic vent included. SG2-F4"
SG2-V4,NEW,No wind direction data anywhere - no wind rose,"The deck gives monthly mean speed only. It matters for the intake/exhaust relationship and as the plume direction for the CBRN case. SG2's orientation is therefore justified on access, fall, noise and end-to-end separation - not on prevailing wind"
SG2-V5,NEW,The programme stops dewatering before backfill,"A2070 ends 11-05-27; side backfill A7010 is 20-07-27 → 30-07-27. Master B.3 mitigation 1 requires dewatering *""until backfill and cover complete""*. The gap spans the 2027 monsoon with the box at stage 3 - FoS 1.22 at the design GWT, 0.86 flooded. Sharpened by the SG-V3 ruling. No date changed - the owner's schedule R0 governs"
