REF,PARAMETER,WHAT THE MASTER HOLDS,WHAT THE EVIDENCE SAYS,WHAT THAT MEANS,STATUS AFTER SG1
A1,Rockhead 1.5–2.0 m,(-)1.500 to (-)2.000 [A],0.9 – 1.5 m at three locations [C],"Bands touch at one point. Master conservative on depth, unconservative on rock quantity - +118 m3, ≈ 2 d",OPEN SG-F5
A2,Design GWT (-)2.000,(-)2.000 [A],"*""not encountered in any trial pit""* - in pits ~1.5 m deep [C]","Provenance found, not verification. *Not encountered* = not reached",OPEN SG-F6
A3,SBC 3240 kPa,3240 [A] IS 1904 Table 1,"1961–2059 kPa soaked, 2942–3530 unsoaked [C]","Soaked governs. Worst utilisation 12.5 % → 20.6 %, all pass",OPEN SG-F3
A4,k_s 100 000–500 000 kN/m3,both bounds [A],nothing - no plate load test [N],Untouched. The second bound is still outstanding,OPEN - unchanged
A5,"K₀ 0.50, γ 20/21","0.50, 20/21 [A]","φ 27–35°, MDD 1.88–1.93, OMC 8–12 % [C]",K₀ conservative on the murrum; γ_sat agrees within 1.2 %; wall load moves < 1 %,OPEN SG-F9
A6,K_a 1.0 saturated,1.0 [C],nothing [N],Untouched,unchanged
A7,Soak pit 20 L/m2/day,20 [A],nothing - no percolation test [N],"Untouched. IS 2470 (Pt 2) Cl. 4 test still mandatory, and the report's basalt makes failure likely",OPEN - unchanged
A8,Seepage 0.5 L/m2/day,0.5 [A],nothing - no packer test [N],Untouched,OPEN - unchanged
A10,"Wind k₁ 1.08, V_b 39 m/s",39 m/s [C],monthly mean speeds only [C],"Different statistic. Not a conflict, and not a reason to reduce V_b",unchanged
-,Seismic Zone III,"Z = 0.16, IS 1893 (Pt 1):2016 [C]","Zone III, both documents [C]",A_h 0.075 / 0.100 reproduce exactly,CORROBORATED SG-F12
-,Cover 40.65 kPa,40.65 held by RC1 / C17 [C],"MDD 1.90–1.93, OMC 8–9 % [C]",40.65 brackets both the as-placed (lighter) and the fully saturated (+1 %) case,CORROBORATED SG-F8
-,Black cotton soil,not recorded anywhere,"CH, FSI 60–65 %, 0.18–1.0 m [C]","Harmless under every founded element; two exposures - entry stairwell raft, concealment turf",NEW SG-F13 SG-F14
D3,Site plan,does not exist,"imagery and contours, no dimension, benchmark or coordinate [C]","Better informed, not closed. Cut and fill, berm toe and the BS1 daylight point all still undrawable",STILL OPEN
