Ref,Work,Stage,Requirement,Reference,Type,Record
Q-01,Site setting out,Before excavation,"Position, orientation and level against the master A.4.1 grid; independent check. Sentry post at least 10 m clear of the excavation.","master A.4.1, A.2",WITNESS,Setting-out record and check certificate
Q-02,Excavation,During,"Line, level and stability of the faces; edge protection in place; dewatering operating.",IS 3764,SURVEILLANCE,Daily excavation record
Q-03,Formation,Before blinding,"Formation level (-)6.800; loose rock removed; red-bole and vesicular seams identified, over-excavated and replaced with M15. Founding stratum confirmed as in-situ basalt. The same check applies to the sentry post footings at (-)2.000 (H-11).",master A.6,"HOLD (H-01, H-11)",Formation approval certificate with a seam map
Q-04,Backfill and engineered fill,Each layer,Layer thickness not exceeding 250; in-situ dry density at least 95 % MDD.,IS 2720 (Part 8) for MDD; IS 2720 (Part 28) sand replacement,TEST,"Field density test sheets, one set per layer per 100 m²"
Q-05,Engineered cover build-up,On completion,"Six layers reproduced at the thicknesses and materials of master A.7.3, totalling 2000 and 40.65 kPa.",master A.7.3,HOLD,Cover verification record with layer levels
Q-06,Concrete mix,Before first pour,Trial mix and design for M35 (box) and M30 (sentry). Minimum cement 340 kg/m³ and w/c not more than 0.45 for M35 very severe exposure. Integral crystalline waterproofing admixture.,IS 456 Table 5; IS 10262; IS 2645,HOLD,Approved mix design
Q-07,"Cement, aggregate and water",Each delivery / source,Cement to IS 269 or IS 1489 (Part 1) with test certificates; aggregate to IS 383 tested to IS 2386; water to IS 456 Cl. 5.4.,"IS 269, IS 383, IS 2386, IS 456 Cl. 5.4",TEST,Material test register
Q-08,Reinforcement,Each consignment,Fe500D to IS 1786 for the box; Fe500 for the sentry post. Mill certificates plus independent tensile and bend tests per lot.,IS 1786,TEST,Mill certificates and independent test reports
Q-09,Reinforcement fixing — mat,Before pour,"Bar size, spacing 150 both curtains, laps 50 phi staggered so not more than 50 % are spliced at a section, cover 75 to the blinding and 50 to formed faces, chairs and spacers, wall starters with a 900 leg.","IS 456 Cl. 26.2, 26.4.2, Table 16; master A.5, F.1",HOLD (H-03),Pre-pour reinforcement checklist countersigned by the structural consultant
Q-10,Reinforcement fixing — walls,Before each lift,"As Q-09 plus blast door jamb bars 4-T20 each face, header cage, haunch diagonals, and the blast door frame set, aligned and WELDED TO THE CAGE.",master F.1,"HOLD (H-04, H-05, H-07)","Pre-pour checklist and frame alignment record. H-07 is the headhouse walls, which carry the same 383 kPa either-face requirement"
Q-11,Reinforcement fixing — pressure slab,Before pour,T25 @ 150 EF EW; opening trimmers 6-T25 and 5-T25; 4-T25 diagonals at the re-entrant corners; local thickenings 900 to 1200; four-legged T12 links @ 250 in the end 1500; HW3 band 4-T25 top and bottom; all cast-in items.,"master B.4, B.4.1, F.1","HOLD (H-06, H-08)","Pre-pour checklist countersigned by the structural consultant. H-08 is the headhouse roof, the most highly worked element at 90 % utilisation"
Q-12,Formwork and falsework,Before pour,"Line, level, plumb, camber, tightness and cleanliness; falsework designed and checked as temporary works.",IS 456 Cl. 11; IS 14687,HOLD,Formwork release note; falsework design check
Q-13,Concrete placing,During pour,Slump on every load; placing and compaction; no cold joint in a continuous pour; temperature control on the 900 slab and 600 mat.,IS 456 Cl. 13; IS 1199,SURVEILLANCE,Pour card per pour
Q-14,Concrete strength,7 and 28 days,Cube sampling and testing; acceptance to IS 456 Cl. 15 and 16.,"IS 516; IS 456 Cl. 15, 16",TEST,Cube test certificates
Q-15,Curing,After each pour,"Continuous moist curing: 14 days for the mat, the pressure slab and the headhouse roof; 7 days minimum elsewhere.",IS 456 Cl. 13.5,SURVEILLANCE,Curing register
Q-16,Formwork striking,Before striking,Vertical faces after 16–24 h; props to slabs spanning over 4.5 m after 14 days. The pressure slab spans 5.000 clear.,IS 456 Cl. 11.3 Table 11,HOLD,Striking permit signed by the site engineer
Q-17,Construction joints,At each joint,Surface prepared; reinforcement fully continuous; TWO waterstops and a welded EMP strap installed before the next pour.,IS 456 Cl. 13.4; master F.1,HOLD,Joint record with photographs of the strap and waterstops
Q-18,Hardened concrete — NDT,After 28 days,"Ultrasonic pulse velocity and rebound hammer on a sampling basis, concentrating on the pressure slab and the protective walls.",IS 13311 (Part 1) and (Part 2),TEST,NDT report
Q-19,Tanking — substrate,Before application,"Substrate sound, clean, dry and free of laitance; fillets formed at all internal angles.",IS 3067,WITNESS,Substrate acceptance record
Q-20,Tanking — horizontal and vertical,Before covering,"Continuity, laps, terminations, upstands and dressing to every penetration; protection layer in place before backfilling.",IS 3067; FN1 WP-01/WP-02,"HOLD (H-02, H-09, H-10)",Tanking inspection certificate with photographic record
Q-21,Watertightness,After completion,Visual inspection of the whole internal envelope for damp and seepage after the first monsoon exposure or a flood test where practicable.,IS 6494 principles,WITNESS,Watertightness inspection report
Q-21A,SENTRY POST — RC footings and frame reinforcement,Before each pour,"Bar size, spacing, cover 50 to footings / 40 to columns / 30 to beams and slabs; column starters 8-T16; IS 13920 detailing — T10 confining hoops with a cross-tie each way @ 85 over 500 from every joint face AND through the joint; slab corner torsion steel T8 @ 200 in four layers over 700 x 700 at all four corners.","IS 456; IS 13920 Cl. 7.4, 8.1, 8.2; IS 456 Annex D-1.8; master F.4","HOLD (H-12, H-13, H-14)",Pre-pour reinforcement checklist countersigned by the structural consultant
Q-22,SENTRY POST — brick source,Before order,"Class designation 10 modular bricks; sampling to IS 5454; testing to IS 3495 for compressive strength, water absorption, efflorescence and warpage. Dimensional tolerance check on the 190 x 90 x 90 size.",IS 1077; IS 3495; IS 5454,HOLD,Brick test report and source approval
Q-23,SENTRY POST — masonry mortar,Each batch,CM 1:6 by volume using gauge boxes; sand to IS 2116; used within 30 minutes; never re-tempered. Mortar cube tests on a sampling basis.,IS 2250; IS 2116,TEST,Mortar register and cube results
Q-24,SENTRY POST — masonry workmanship,Each storey,"English bond one brick thick; 10 mm joints fully filled bed, cross and vertical; bricks thoroughly soaked before laying; not more than 1 m of lift above adjacent work in a day.",IS 2212,SURVEILLANCE,Daily masonry record
Q-25,"SENTRY POST — line, level, plumb and joints",End of each storey,Plumb over the 2.600 storey height; level every fourth course; joint thickness 10 mm nominal; panel dimensions against the 190 thickness inside the 200 structural zone.,IS 2212; IS 1905,"HOLD (H-15, H-16)",Masonry inspection record with measured plumb and joint thickness
Q-26,SENTRY POST — infill / frame interface,Before plaster,Top course wedged and packed only after the panel has taken its initial shrinkage; ties to the columns installed at the specified spacing.,IS 1905; SP-B1,HOLD,Interface inspection record
Q-27,SENTRY POST — lintels,Before and after casting,"Approved lintel design in place before the opening is built; section, reinforcement, bearing 200 minimum each end, and curing.",IS 456; design NOT YET ISSUED,HOLD,Lintel inspection record
Q-28,SENTRY POST — plaster,Before and after,"Surface prepared and raked; thickness, true to line and level; cured seven days; no hollowness on tapping.",IS 1661,WITNESS,Plaster inspection record
Q-29,SENTRY POST — flooring and finishes,On completion,"Level, falls, finish and freedom from cracking.",IS 2571 for in-situ cement concrete flooring,WITNESS,Finish inspection record
Q-30,SENTRY POST — painting,Each coat,"Surface preparation, primer and coats; adhesion.",IS 2395 (Part 1),WITNESS,Painting record
Q-31,Drainage — pipes and chambers,Before covering,"Line, level, gradient, jointing; water or air test; rodding access at every change of direction.",IS 1742 principles; Drainage DR1,HOLD,Drainage test certificate
Q-32,Sump and pumps,On commissioning,"Duty and standby pump performance; auto-alternation; level switch settings at start +900, stop +300 and high alarm +1200 above the invert; hand pump PU-03 proved independently of power.",Drainage DR1,TEST,Pump commissioning record
Q-33,Soak pits,Before construction,"PERCOLATION TEST IS MANDATORY and must precede construction; SK-01 is 2.3 % short of its own stated requirement. CONFLICT C19 IS NOW CLOSED - RC1 WIDENED SK-01 to 2.200 dia, depth unchanged: 24.19 m2 against 22.50 required, +7.5 %. The percolation test still governs the final size.",IS 2470 (Part 2) Cl. 4,HOLD,Percolation test report
Q-34,Septic tank,On completion,"Capacity, baffle at two-thirds of the length, inlet and outlet tees, 50 cowled vent at least 2 m above grade; watertightness.","IS 2470 (Part 1) Cl. 6.2, 6.3, 6.5, 6.6, 6.9, Table 1",WITNESS,Septic tank inspection record
Q-35,Electrical installation,On completion,"Insulation resistance, continuity, polarity, protective device operation.",IS 732,TEST,Electrical test certificate
Q-36,Earthing,On completion,Earth electrode resistance against the 5 ohm target; bonding continuity to all metalwork.,IS 3043; IEEE 142,TEST,Earth resistance test report
Q-37,EMP shielding,After enclosure and all penetrations,"Shielding effectiveness survey, 80 dB over 10 kHz to 1 GHz.","IEEE Std 299; MIL-STD-188-125-1 §5.4, §5.5, §5.7.2.1, §5.7.4.1, §5.7.6",TEST,Shielding effectiveness survey report
Q-38,Blast doors,On installation,"Alignment, seal compression, operation, and the vendor's rating documentation. The tested assembly is NOT overcoated.",Vendor specification; FN1 D-01,HOLD,Door installation and seal test record
Q-39,Gas-tightness and overpressure,After doors and finishes,"Envelope leakage of bays 1 to 6 (67.8 m² floor, 217.0 m³ volume) and overpressure hold with the filter trains running.",FEMA 453 principles; project protective requirement,TEST,Gas-tightness and overpressure test report
Q-40,CBRN filter trains,On commissioning,"Airflow, filter seating, in-place leak test of the H14 HEPA stage, carbon bed condition, hand-crank operation of each fan.",EN 1822 for the HEPA classification; HVAC HV1,TEST,Filter train commissioning report
Q-41,Generator,On commissioning,"Load test, changeover proving, exhaust and combustion air path, bunding.",HVAC HV1,TEST,Generator commissioning report
Q-42,Integrated protective mode,Before handover,"Whole-system operation in protective mode: doors closed, blast valves set, filter trains running, overpressure maintained, drainage isolated.",This package,HOLD,Integrated commissioning report
