Type,Ref,Category / Activity,Hazard / Risk,L,I,Controls / Response,Reference / Owner
SAFETY,S-01,"Deep excavation, 6.8 m",Collapse of the soil zone above rockhead; fall of persons and plant into the excavation; fall of material from the edge.,,,"Battered or supported faces designed as temporary works before excavation starts; edge protection, barriers and signage installed as the excavation deepens; spoil and plant kept back from the edge; access by fixed ladders in protected bays; daily inspection by a competent person after rain.",IS 3764
SAFETY,S-02,Rock breaking,Flying fragments; noise; hand-arm and whole-body vibration; damage to adjacent structures.,,,"Hydraulic breaking only, no blasting; exclusion zone around the rig; eye and hearing protection mandatory; vibration exposure monitored; a minimum 10 m separation from the sentry post founding level maintained.",IS 3764; IS 5121 for safety in erection — To be verified against the applicable MES SOR/SSR/specification edition.
SAFETY,S-03,Working in the excavation,Water accumulation; oxygen deficiency in a deep sump; entrapment.,,,"Continuous dewatering with standby; the sump pit at (-)8.100 is treated as a CONFINED SPACE with permit, gas testing, ventilation, a standby person and rescue arrangements.",IS 3764; permit-to-work system
SAFETY,S-04,Reinforcement handling and fixing,Cuts and puncture from projecting bars; manual handling injuries; crush injuries during unloading.,,,Bar caps on all projecting verticals; mechanical unloading; gloves and safety footwear; bar-bending machines guarded; the reinforcement yard laid out so that bars are not carried over other trades.,IS 7969; IS 4082 for stacking
SAFETY,S-05,Formwork and falsework,Collapse of falsework under the 112 m³ pressure slab pour; falls from the deck at 3.200 m; falling components during striking.,,,"Falsework designed, checked and inspected before every pour; a striking permit signed only against the IS 456 Table 11 periods; edge protection to the deck; exclusion zone below during striking.",IS 14687; IS 456 Cl. 11.3; IS 3696 (Part 1)
SAFETY,S-06,Concrete placing,Cement burns and dermatitis; eye injury; pump line whip; entanglement with vibrators; night work fatigue on continuous pours.,,,"Gloves, eye protection and barrier cream; pump lines restrained and pressure-tested; a briefed pour team with defined rest breaks; lighting designed for the continuous pours.",IS 7969
SAFETY,S-07,"Work at height — headhouse, sentry post, scaffolding",Falls from the scaffold and from the slab edges; falling tools and materials.,,,"Scaffold erected, altered and dismantled only by trained scaffolders and tagged before use; full guard-rail, mid-rail and toe-board; harness where edge protection cannot be provided; toe-boards and debris netting.",IS 3696 (Part 1) and (Part 2); IS 4014 (Part 2)
SAFETY,S-08,SENTRY POST — brick masonry,Falls from the masonry scaffold at first-storey level; collapse of a freshly built panel; manual handling of bricks and mortar; silica dust from cutting; eye injury from mortar splash and from chasing.,,,"Independent tied scaffold with a proper working platform, never a trestle on a slab edge; no more than 1 m of lift above adjacent work in a day, and temporary propping of a free-standing panel; mechanical hoisting of bricks above ground level rather than throwing; wet cutting or on-tool extraction and RPE for dust; eye protection for laying, cutting and chasing; the top course wedged only from a proper platform.",IS 2212 for the work itself; IS 3696 (Part 1); IS 7969
SAFETY,S-09,Lifting operations,"Load failure during the lift of the blast door leaves, the filter trains, the EMP enclosure and the spiral stair.",,,"Lift plan for every significant lift; certified crane, operator and tackle; exclusion zone; no lifting over occupied areas; wind limit set for the crane.",IS 3696 (Part 1); To be verified against the applicable MES SOR/SSR/specification edition.
SAFETY,S-10,"Confined space — sump, escape shafts, ducts",Oxygen deficiency; toxic atmosphere; entrapment in a 1400 dia shaft.,,,"Permit to work, gas testing before and during entry, forced ventilation, harness and retrieval line, standby person, and a rehearsed rescue plan. The 1400 dia escape shafts are entered only under permit.",Permit-to-work system; To be verified against the applicable MES SOR/SSR/specification edition.
SAFETY,S-11,Electrical works,Electric shock; arc flash; working live.,,,All work dead unless a live-working permit is issued; lock-off and tag; residual current protection on all site supplies; only competent electricians; the generator changeover proved before energisation.,IS 732; IS 5216 (Part 1); IS 3043
SAFETY,S-12,Plant movement and haulage,"Struck by excavator, tipper or roller; reversing incidents; interaction with pedestrians on a constrained site.",,,Segregated pedestrian routes; banksman for all reversing; reversing alarms and cameras; a one-way haul route; speed limit; daily plant inspection.,IS 7969; To be verified against the applicable MES SOR/SSR/specification edition.
SAFETY,S-13,Waterproofing and coatings,Solvent vapour in the confined internal envelope; fire; skin and respiratory sensitisation.,,,Forced ventilation during application in the closed envelope; no hot work adjacent; appropriate RPE and gloves; material safety data sheets held on site for every product; a fire watch where hot-applied systems are used.,Product safety data; To be verified against the applicable MES SOR/SSR/specification edition.
SAFETY,S-14,Backfill and cover placement,Plant overturning on the berm slope; crushing between plant and the structure; damage to the tanking membrane by plant tracking.,,,Compaction plant kept off the membrane until the 100 protection screed is cured; slope gradients controlled; banksman during placement adjacent to the structure.,IS 7969
SAFETY,S-15,Site-wide,General site hazards; emergency in a deep excavation or a confined space.,,,"Site induction for every person; PPE as a minimum standard — helmet, safety footwear, high-visibility clothing, eye protection; first-aid post and trained first-aiders; documented emergency plan with rescue from height and from confined space; emergency contact list and assembly point; weekly safety walk and monthly safety committee.",IS 13416 (Parts 1 to 5); CPWD Safety Code; To be verified against the applicable MES SOR/SSR/specification edition.
RISK,R-01,Ground,"Groundwater is higher than the ASSUMED (-)2.000. Water is nearly two-thirds of the 15.41 kPa/m lateral gradient, so the walls, the flotation check and the dewatering all move.",M,H,"Monsoon monitoring (A1080) is deliberately on the critical path and must close before the excavation support is designed. If the level is higher, the design is referred back before excavation, not after.",Project Manager / Designer
RISK,R-02,Ground,Red-bole or vesicular seams found under the mat. A single seam produces the differential-support case that sizes the mat.,H,H,Confirmatory boreholes before excavation; every seam exposed at formation is over-excavated and replaced with M15; formation approval is a hold point with a seam map. Provisional quantity carried for replacement concrete.,Site Engineer (Civil)
